section|subsection|polity_name|polity_new_ID|polity_old_ID|variable_name|value_from|value_to|year_from|year_to|confidence|is_disputed|is_uncertain|expert_checked
General Variables|Identity and Location|Hatti - New Kingdom|tr_hatti_new_k|TrHatNK|alternative_name|Hittites||||Confident|False|False|True
General Variables|Identity and Location|Hawaii II|us_hawaii_2|Hawaii2|alternative_name|Island of Hawai'i||||Confident|False|False|True
General Variables|Identity and Location|Ak Koyunlu|ir_ak_koyunlu|IrAkKoy|alternative_name|Aq Qoyunlu||||Confident|False|False|True
General Variables|Identity and Location|Susiana - Muhammad Jaffar|ir_susiana_archaic|IrArcha|alternative_name|Muhammad Jaffar||||Confident|False|False|True
General Variables|Identity and Location|Formative Period|ir_susiana_formative|IrForma|alternative_name|Bus Mordeh||||Confident|False|False|True
General Variables|Identity and Location|Ilkhanate|ir_il_khanate|IrIlkhn|alternative_name|Il-Khanate||||Confident|False|False|True
General Variables|Identity and Location|Susiana - Early Ubaid|ir_susiana_ubaid_1|IrKhzM*|alternative_name|Ubaid||||Confident|False|False|True
General Variables|Identity and Location|Elam - Shutrukid Period|ir_elam_7|IrMElm3|alternative_name|Middle Elamite Kingdom||||Confident|False|False|True
General Variables|Identity and Location|Elam II|ir_neo_elam_2|IrNElm2|alternative_name|Elam - Neo-Elamite II||||Confident|False|False|True
General Variables|Identity and Location|Parthian Empire II|iq_parthian_emp_2|IrPart2|alternative_name|Arsacid Empire||||Confident|False|False|True
General Variables|Identity and Location|Sasanid Empire II|ir_sassanid_emp_2|IrSasn2|alternative_name|Sasanian Empire||||Confident|False|False|True
General Variables|Identity and Location|Sasanid Empire II|ir_sassanid_emp_2|IrSasn2|alternative_name|Sassanid Empire||||Confident|False|False|True
General Variables|Identity and Location|Sasanid Empire II|ir_sassanid_emp_2|IrSasn2|alternative_name|Sassanian Empire||||Confident|False|False|True
General Variables|Identity and Location|Sasanid Empire II|ir_sassanid_emp_2|IrSasn2|alternative_name|Sasanid Dynasty||||Confident|False|False|True
General Variables|Identity and Location|Sasanid Empire II|ir_sassanid_emp_2|IrSasn2|alternative_name|Sassanid Dynasty||||Confident|False|False|True
General Variables|Identity and Location|Elam - Shimashki Period|ir_elam_2|IrShima|alternative_name|Elam||||Confident|False|False|True
General Variables|Identity and Location|Elam - Shimashki Period|ir_elam_2|IrShima|alternative_name|Dynasty of Shimashki||||Confident|False|False|True
General Variables|Identity and Location|Early Roman Republic|it_roman_rep_1|ItRomER|alternative_name|Early Roman Republic||||Confident|False|False|True
General Variables|Identity and Location|Middle Roman Republic|it_roman_rep_2|ItRomMR|alternative_name|Middle Roman Republic||||Confident|False|False|True
General Variables|Identity and Location|Roman Kingdom|it_roman_k|ItRomRg|alternative_name|Rome||||Confident|False|False|True
General Variables|Identity and Location|Papal States - Early Modern Period I|it_papal_state_3|ItPapM1|alternative_name|Stato Pontificio||||Confident|False|False|True
General Variables|Identity and Location|Papal States - Early Modern Period I|it_papal_state_3|ItPapM1|alternative_name|Patrimonium Sancti Petri||||Confident|False|False|True
General Variables|Identity and Location|Papal States - Early Modern Period I|it_papal_state_3|ItPapM1|alternative_name|The Papal States||||Confident|False|False|True
General Variables|Identity and Location|Papal States - Early Modern Period I|it_papal_state_3|ItPapM1|alternative_name|Stato della Chiesa||||Confident|False|False|True
General Variables|Identity and Location|Papal States - Early Modern Period I|it_papal_state_3|ItPapM1|alternative_name|Papal States Modern I||||Confident|False|False|True
General Variables|Identity and Location|Papal States - Early Modern Period II|it_papal_state_4|ItPapM2|alternative_name|The Papal States||||Confident|False|False|True
General Variables|Identity and Location|Papal States - Early Modern Period II|it_papal_state_4|ItPapM2|alternative_name|Terrae Sancti Petri||||Confident|False|False|True
General Variables|Identity and Location|Papal States - Early Modern Period II|it_papal_state_4|ItPapM2|alternative_name|Patrimonium Sancti Petri||||Confident|False|False|True
General Variables|Identity and Location|Papal States - Early Modern Period II|it_papal_state_4|ItPapM2|alternative_name|Papal States Modern II||||Confident|False|False|True
General Variables|Identity and Location|Papal States - Renaissance Period|it_papal_state_2|ItPapRn|alternative_name|Patrimonium Sancti Petri||||Confident|False|False|True
General Variables|Identity and Location|Papal States - Renaissance Period|it_papal_state_2|ItPapRn|alternative_name|The Papal States||||Confident|False|False|True
General Variables|Identity and Location|Papal States - Renaissance Period|it_papal_state_2|ItPapRn|alternative_name|Papal States Renaissance Period||||Confident|False|False|True
General Variables|Identity and Location|Late Roman Republic|it_roman_rep_3|ItRomLR|alternative_name|Late Roman Republic||||Confident|False|False|True
General Variables|Identity and Location|Western Roman Empire - Late Antiquity|it_western_roman_emp|ItRomWe|alternative_name|Western Roman Empire||||Confident|False|False|True
General Variables|Identity and Location|Elam - Early Sukkalmah|ir_elam_3|IrSukkE|alternative_name|Early Period||||Confident|False|False|True
General Variables|Identity and Location|Elam - Early Sukkalmah|ir_elam_3|IrSukkE|alternative_name|Old Elam||||Confident|False|False|True
General Variables|Identity and Location|Elam - Early Sukkalmah|ir_elam_3|IrSukkE|alternative_name|the Sukkalmah Period||||Confident|False|False|True
General Variables|Identity and Location|Susa I|ir_susa_1|IrSusa1|alternative_name|Susiana C||||Confident|False|False|True
General Variables|Identity and Location|Susa II|ir_susa_2|IrSusa2|alternative_name|Bayat||||Confident|False|False|True
General Variables|Identity and Location|Latium - Bronze Age|it_latium_ba|ItLatBA|alternative_name|Apennine culture||||Confident|False|False|True
General Variables|Identity and Location|Latium - Bronze Age|it_latium_ba|ItLatBA|alternative_name|Proto-Villanovan culture||||Confident|False|False|True
General Variables|Identity and Location|Latium - Iron Age|it_latium_ia|ItLatIA|alternative_name|Latial Culture||||Confident|False|False|True
General Variables|Identity and Location|Exarchate of Ravenna|it_ravenna_exarchate|ItRav**|alternative_name|Byzantine Exarchate of Ravenna||||Confident|False|False|True
General Variables|Identity and Location|Exarchate of Ravenna|it_ravenna_exarchate|ItRav**|alternative_name|Byzantine Exarchate||||Confident|False|False|True
General Variables|Identity and Location|Asuka|jp_asuka|JpAsuka|alternative_name|Asuka period in Kinki region||||Confident|False|False|True
General Variables|Identity and Location|Asuka|jp_asuka|JpAsuka|alternative_name|Asuka period in Kinai region||||Confident|False|False|True
General Variables|Identity and Location|Asuka|jp_asuka|JpAsuka|alternative_name|Late Kofun period in Kinki region||||Confident|False|False|True
General Variables|Identity and Location|Asuka|jp_asuka|JpAsuka|alternative_name|Late Kofun period in Kinai region||||Confident|False|False|True
General Variables|Identity and Location|Kansai - Kofun Period|jp_kofun|JpKofun|alternative_name|Kofun period in Kinki region||||Confident|False|False|True
General Variables|Identity and Location|Kansai - Kofun Period|jp_kofun|JpKofun|alternative_name|Kofun period in Kinai region||||Confident|False|False|True
General Variables|Identity and Location|Tokugawa Shogunate|jp_tokugawa_shogunate|JpTokgw|alternative_name|The Edo Period||||Confident|False|False|True
General Variables|Identity and Location|Tokugawa Shogunate|jp_tokugawa_shogunate|JpTokgw|alternative_name|Tokugawa bakufu||||Confident|False|False|True
